name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Carl Campbell,5,0,5.8,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,1.0,1.6,.625,0.0,0.2
Carlos Campbell,23,8,17.6,1.4,5.0,.276,1.3,4.3,.296,0.1,0.8,.167,0.8,1.1,.692,,
Charles Campbell,22,0,6.6,0.4,1.5,.242,0.3,1.5,.219,0.0,0.0,1.000,0.1,0.3,.286,0.6,0.6
Chasen Campbell,28,0,6.5,0.6,2.3,.281,0.3,1.3,.250,0.3,1.0,.321,0.3,0.4,.636,0.3,0.6
Chris Campbell,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
Chris Campbell,12,0,2.5,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,0.0,0.2,.000,0.1,0.4
D'Von Campbell,48,8,14.6,1.3,3.5,.371,0.7,1.8,.405,0.6,1.7,.337,0.8,1.1,.655,0.2,0.9
Darren Campbell,95,35,16.0,1.9,5.0,.383,,,.406,,,.360,0.8,1.2,.643,,
David Campbell,119,39,17.0,1.3,3.3,.392,0.8,1.7,.477,0.5,1.6,.304,0.5,0.7,.730,0.8,2.1
David Campbell,78,24,24.6,2.4,4.6,.529,1.8,2.5,.711,3.7,1.1,0.5,0.2,1.2,2.0,6.7,
Dayne Campbell,9,,,0.1,1.1,.100,0.3,0.4,.750,0.2,,,,,0.0,0.6,
Dean Campbell,102,73,29.5,4.7,9.9,.479,4.4,8.9,.492,0.4,1.0,.363,2.1,3.0,.699,,
Derek Campbell,102,26,24.3,1.2,3.1,.381,1.2,3.1,.381,0.0,0.0,,1.3,2.7,.480,,
Devonte Campbell,89,60,28.1,2.2,5.4,.415,1.7,3.6,.476,0.5,1.8,.292,2.2,2.9,.757,1.5,2.9
Dexter Campbell,78,17,14.5,1.4,2.8,.500,,,.512,,,,1.9,2.4,.764,,
Dick Campbell,93,,,3.1,6.4,.477,2.2,3.5,.641,7.5,3.4,,,,2.9,8.4,
Dion Campbell,70,26,19.5,1.6,3.2,.493,,,.519,,,.294,0.4,0.8,.537,,
Don Campbell,36,,,1.4,4.5,.309,0.7,1.3,.533,2.9,,,,,2.6,3.4,
Don Campbell,16,,,0.1,0.4,.333,0.2,0.4,.500,0.4,0.0,,,,0.4,0.4,
