name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
_ Baird,25,,,0.7,,,0.2,0.6,.250,,,,,,1.0,1.6,
_ Baird,14,,,0.9,3.8,.245,0.7,1.0,.714,,,,,,0.9,2.6,
Cameron Bairstow,134,55,20.8,3.1,6.0,.517,3.1,6.0,.519,0.0,0.0,.333,3.0,4.2,.717,1.7,3.0
Sean Bairstow,63,1,12.2,1.4,3.0,.466,1.1,2.1,.538,0.3,1.0,.311,0.4,0.7,.667,0.1,1.2
Jason Baisch,22,0,1.7,0.2,0.5,.364,0.2,0.5,.364,0.0,0.0,,0.1,0.2,.750,0.1,0.4
BIll Baisley,21,,,0.8,2.4,.314,0.3,0.5,.545,1.4,0.0,,,,0.7,1.8,
Harvey Baity,24,1,4.0,1.1,2.5,.450,,,.439,,,,0.4,0.9,.429,,
Louie Baity,21,,14.8,0.8,1.9,.400,0.8,1.9,.410,0.0,0.0,.000,0.2,0.4,.556,,
Jonah Baize,24,0,1.7,0.1,0.2,.400,0.0,0.1,.000,0.1,0.1,1.000,0.0,0.0,,0.0,0.3
Joe Bajda,5,0,1.6,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,0.4,0.4,1.000,0.0,0.4
John Bajda,33,0,2.7,0.2,0.6,.286,0.1,0.4,.214,0.1,0.2,.429,0.3,0.5,.688,0.2,0.3
Cole Bajema,45,1,13.1,1.1,2.6,.407,0.5,1.2,.453,0.5,1.4,.369,0.5,0.6,.724,0.2,1.1
Steve Bajema,92,52,25.2,,,.482,,,,,,,,,.739,6.3,
Michael Bajornas,62,30,11.7,0.7,2.5,.273,0.3,0.9,.333,0.4,1.6,.240,0.1,0.1,.571,0.5,0.9
Alex Bajusz,,,,,,,,,,,,,,,,,
John Bajusz,104,,31.3,6.2,11.6,.537,,,.513,,,.418,3.2,3.7,.856,,
Bak Bak,89,1,7.2,0.8,1.7,.456,0.8,1.6,.476,0.0,0.1,.000,0.4,0.6,.706,0.5,1.2
_ Bakalik,8,,,0.3,0.5,.500,0.5,0.5,1.000,0.3,,,,,1.3,1.0,
_ Bakalis,,,,,,,,,.600,,,,,,,,
Migjen Bakalli,75,14,19.3,2.2,5.3,.414,0.9,1.8,.496,1.3,3.6,.373,0.8,1.2,.656,,
Rem Bakamus,49,1,2.0,0.1,0.3,.235,0.0,0.0,.500,0.1,0.3,.200,0.2,0.3,.615,0.0,0.3
William Bakanowsky,89,29,17.8,1.4,3.2,.422,0.8,1.6,.486,0.6,1.6,.357,0.7,0.8,.841,1.3,2.0
Adetokunbo Bakare,11,0,6.4,0.7,2.5,.296,0.4,0.8,.444,0.4,1.6,.222,0.1,0.2,.500,0.1,0.9
Kalif Bakare,12,0,4.9,0.3,0.9,.364,0.3,0.8,.333,0.1,0.2,.500,0.0,0.2,.000,0.2,0.6
Ibn-Hashim Bakari,115,37,15.9,1.8,3.9,.448,1.6,3.2,.483,0.2,0.7,.282,0.7,1.0,.718,,
Alasanne Bakayoko,19,19,,0.6,1.4,.423,0.6,1.4,.423,0.0,0.0,,0.0,0.3,.000,,
Al Baker,20,4,11.9,1.7,3.4,.485,0.8,1.2,.625,3.5,1.1,,,,1.6,4.1,
Al Baker,57,,9.0,0.9,1.9,.481,0.9,1.4,.646,2.2,0.4,,,,,2.7,
Al Baker,1,,,1.0,,,0.0,,,,,,,,,2.0,
Ardie Baker,43,,,1.1,2.7,.393,0.9,1.3,.704,0.7,,,,,1.2,3.0,
B Baker,32,,,0.9,2.9,.309,0.8,1.2,.692,,,,,,0.5,2.7,
Ben Baker,19,9,18.7,3.2,7.5,.420,,,,,,,1.4,1.7,.818,1.7,1.3
Bill Baker,45,,,4.4,12.4,.351,2.4,3.9,.621,11.4,2.5,,,,2.5,11.1,
Billy Baker,36,,,2.2,5.5,.399,1.6,2.2,.709,1.2,1.6,0.5,0.0,0.5,2.9,5.9,
Bob Baker,28,,,1.9,3.2,.584,0.7,0.9,.792,1.6,,,,,1.1,4.4,
Bob Baker,3,,,0.0,1.0,.000,1.7,2.3,.714,0.7,,,,,0.3,1.7,
Brandon Baker,131,18,12.2,1.1,2.6,.425,0.7,1.2,.597,0.4,1.4,.272,0.3,0.5,.610,0.9,1.5
Brandon Baker,25,5,5.5,0.2,0.8,.300,0.2,0.8,.300,0.0,0.0,,0.1,0.3,.375,0.2,0.3
Brandon Baker,114,1,9.8,0.5,1.5,.343,0.4,0.9,.413,0.1,0.6,.231,0.8,1.1,.717,,
Bruce Baker,56,,,1.4,3.0,.470,0.7,1.1,.625,2.4,,,,,1.5,3.5,
Bruce Baker,24,,,0.3,1.0,.333,0.2,0.2,.800,1.3,,,,,0.5,0.8,
Bruce Baker,69,7,12.1,1.5,3.3,.448,,,.414,,,.375,0.4,0.6,.658,,
