name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Alex Zhao,4,0,1.3,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.3,0.0
Zurabi Zhgenti,17,3,16.5,1.8,4.4,.413,1.4,2.7,.500,0.5,1.7,.276,0.8,1.1,.737,1.1,2.5
Andrew Zidar,100,80,25.4,3.5,7.7,.453,3.0,6.1,.488,0.5,1.6,.325,1.1,1.7,.643,1.5,3.7
George Zidek,104,60,16.9,2.8,5.4,.520,2.8,5.3,.524,0.0,0.1,.250,1.5,2.1,.744,,
Jan Zidek,54,25,20.2,3.3,7.7,.425,1.9,3.6,.528,1.4,4.1,.335,1.4,1.7,.824,0.8,2.2
Malte Ziegenhagen,19,0,8.3,0.6,1.9,.297,0.1,0.2,.500,0.5,1.7,.273,0.1,0.1,.500,0.1,0.3
Jerry Ziegenhorn,16,,,0.8,2.1,.364,0.6,1.0,.563,1.4,,,,,1.0,2.1,
Bob Ziegler,73,,,4.7,9.5,.491,3.3,4.7,.706,4.9,,,,,2.1,12.7,
Don Ziegler,64,,,0.5,1.9,.276,0.7,1.0,.682,1.0,,,,,0.5,1.8,
Don Ziegler,34,,,1.6,5.9,.269,1.3,2.3,.584,3.6,2.4,,,,2.3,4.5,
Fritz Ziegler,61,,10.3,3.0,8.0,.381,1.1,1.6,.670,6.0,0.4,,,,1.3,7.2,
Karl Ziegler,65,31,26.3,3.4,6.8,.499,3.4,6.7,.506,0.0,0.1,.125,2.7,3.5,.752,1.3,2.6
Lonnie Ziegler,13,,,0.5,0.8,.636,0.0,0.2,.000,0.5,,,,,0.5,1.1,
M Ziegler,,,,,,,,,,,,,,,,,
Rick Ziegler,14,0,,0.6,1.8,.360,,,,,,,0.1,0.4,.333,0.8,0.4
Ron Ziegler,35,,,2.2,5.9,.380,1.3,1.9,.657,5.7,,,,,2.4,5.7,
Todd Ziegler,67,4,5.6,0.7,1.3,.511,,,.509,,,.400,0.4,0.7,.500,,
Travis Ziegler,17,0,2.2,0.2,0.8,.308,0.2,0.4,.667,0.0,0.4,.000,0.3,0.6,.500,,
Matt Zielenbach,14,0,2.0,0.1,0.6,.222,0.1,0.4,.400,0.0,0.3,.000,0.0,0.1,.000,,
Frank Zielinski,28,4,20.1,1.6,3.9,.418,1.5,3.5,.434,0.1,0.4,.273,1.7,2.2,.770,,
Jerry Zielinski,73,,,8.0,16.7,.480,3.2,3.6,.881,7.0,,,,,2.3,19.2,
Maciej Zielinski,70,2,9.1,0.9,2.3,.398,0.6,1.2,.464,0.4,1.1,.325,0.5,0.7,.720,,
Russ Ziemba,18,,2.8,0.2,0.5,.444,,,,,,,0.3,0.3,1.000,0.9,0.1
Steve Ziemian,62,10,14.0,1.2,2.9,.418,0.9,1.8,.514,0.3,1.1,.265,1.1,1.5,.758,,
Chris Zier,33,,,0.9,1.8,.517,0.5,1.0,.563,3.1,,,,,2.2,2.4,
Isaiah Zierden,114,42,22.3,2.0,5.0,.402,0.5,1.1,.453,1.5,3.9,.388,1.2,1.4,.870,0.1,1.9
Larry Zigerelli,76,,34.1,2.3,5.1,.454,1.8,2.7,.683,1.7,5.6,,,,2.8,6.5,
Matt Zignorski,109,23,11.9,0.8,2.3,.356,0.4,1.0,.416,0.4,1.3,.307,0.3,0.5,.720,0.1,0.7
