name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Brandon Haddock,6,0,3.2,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,0.8,1.7,.500,0.0,0.0
Jeff Haddock,24,0,8.2,1.0,2.7,.369,0.3,1.0,.280,0.7,1.7,.425,0.3,0.4,.778,,
Jerry Haddock,50,,,2.0,5.0,.389,1.4,2.2,.648,3.7,,,,,1.9,5.3,
Kevin Haddock,51,29,21.8,3.7,8.1,.457,3.5,7.5,.465,0.2,0.6,.367,1.0,1.6,.638,,
Montarrio Haddock,63,38,24.1,4.3,8.9,.480,3.8,7.5,.499,0.5,1.3,.376,2.6,3.4,.752,1.9,3.6
Raymond Haddock,5,,,0.2,0.8,.250,0.0,0.0,,0.8,,,,,0.8,0.4,
Tom Haddock,,,,,,,,,.750,,,,,,,,
Greg Haddox,33,,,0.7,1.8,.390,,,,,,,0.4,0.5,.800,0.3,
Gregory Hadecki,16,,,0.8,3.6,.211,1.8,2.8,.636,2.9,,,,,1.5,3.3,
Jim Haderlein,76,,,9.0,19.2,.469,4.4,6.8,.654,15.3,,,,,3.5,22.4,
Steve Haderlein,90,21,22.6,1.7,3.9,.435,,,,,,,0.9,1.4,.605,4.9,0.4
Dave Hadfield,49,,4.2,0.3,1.1,.308,,,,,,,0.2,0.4,.455,0.7,0.1
Marc Hadfield,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.5,0.0
John Hadinger,4,,,1.0,2.8,.364,1.0,2.0,.500,2.0,,,,,,3.0,
Ludmil Hadjisotirov,64,5,14.7,1.5,3.5,.416,0.7,1.5,.458,0.8,2.0,.385,0.7,0.8,.778,0.2,0.7
Aidan Hadley,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
C.J. Hadley,37,20,18.8,2.9,6.0,.477,1.5,2.7,.560,1.4,3.3,.410,0.5,0.6,.783,1.1,2.4
Dean Hadley,34,9,11.5,0.6,2.1,.310,0.6,1.6,.415,0.0,0.5,.000,0.4,0.5,.722,0.5,0.8
Desean Hadley,52,26,21.4,2.0,5.5,.365,1.6,4.1,.390,0.4,1.4,.292,1.6,2.7,.607,,
