name,draft
Norm Cook,1
Sonny Parker,1
David Thompson,1
Dave Meyers,1
Marvin Webster,1
Alvan Adams,1
Darryl Dawkins,1
Lionel Hollins,1
Rich Kelley,1
Junior Bridgeman,1
Gene Short,1
Bill Robinzine,1
Joe Meriweather,1
Frank Oleynick,1
Bob Bigelow,1
Joe Bryant,1
John Lambert,1
Ricky Sobers,1
Tom Boswell,1
Kevin Grevey,1
Bill Walton,1
Marvin Barnes,1
Tom Burleson,1
John Shumate,1
Bobby Jones,1
Scott Wedman,1
Tom Henderson,1
Campy Russell,1
Tom McMillen,1
Mike Sojourner,1
Jamaal Wilkes,1
Brian Winters,1
Len Elmore,1
Maurice Lucas,1
Al Eberhard,1
Cliff Pondexter,1
Glenn McDonald,1
Gary Brokaw,1
Doug Collins,1
Jim Brewer,1
Ernie DiGregorio,1
Mike Green,1
Kermit Washington,1
Ed Ratleff,1
Ron Behagen,1
Mike Bantom,1
Dwight Jones,1
John Brown,1
Kevin Joyce,1
Kevin Kunnert,1
Nick Weatherspoon,1
Mel Davis,1
Barry Parkhill,1
Swen Nater,1
Steve Downing,1
Raymond Lewis,1
Larue Martin,1
Bob McAdoo,1
Double D Davis,1
Corky Calhoun,1
Fred Boyd,1
Russell Lee,1
Isaac Stallworth,1
Tom Riker,1
Bob Nash,1
Paul Westphal,1
Ralph Simpson,1
Julius Erving,1
Travis Grant,1
Austin Carr,1
Sidney Wicks,1
Elmore Smith,1
Ken Durrett,1
George Trapp,1
Fred Brown,1
Cliff Meely,1
Darnell Hillman,1
Stan Love,1
Clarence Glover,1
Curtis Rowe,1
Dana Lewis,1
Jim Cleamons,1
John Roche,1
Kenny McIntosh,1
